,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
2816,3,3,3,1,20,0,20,0,1,0,2,3,3,3,0,3,0,0,0,3,109,7,85,43,45,17,53,68,41,27,8,8,8,1,1,0.2,10,10,10,3,0,0,6,2,2
2817,2,2,2,1,22,1,20,0,1,0,0,4,4,4,3,4,0,1,0,3,151,16,117,61,65,19,80,89,54,35,5,5,6,3,2,0.16,10,10,11,6,6,6,33,8,36
2818,1,1,1,1,11,0,10,0,1,0,2,14,14,14,7,14,0,3,0,11,241,30,188,75,123,24,131,149,62,87,3,3,3,1,1,0.13,17,17,18,14,3,1,10,3,10
2819,1,1,1,1,10,0,8,1,2,3,9,29,29,26,8,29,0,5,1,23,420,58,309,116,189,54,197,231,95,136,2,2,3,1,1,0.17,34,34,35,29,0,2,28,1,29
2820,1,1,1,1,19,2,14,3,1,0,1,9,9,9,6,9,0,1,0,8,260,37,174,62,107,49,116,130,51,79,4,4,8,1,1,0.28,13,13,17,9,1,3,20,1,20
2821,1,1,1,1,12,0,12,0,1,0,0,5,5,5,4,5,0,1,0,4,119,9,93,46,51,17,56,64,40,24,2,2,2,1,1,0.18,6,6,6,5,1,1,5,1,5
2822,2,1,2,1,15,0,11,3,2,1,0,24,22,23,5,24,0,12,0,12,471,41,332,144,210,99,218,262,129,133,5,4,5,1,2,0.3,48,42,49,24,0,3,20,1,18
2823,1,1,1,1,3,0,3,0,1,0,0,3,3,3,1,3,0,0,1,2,53,8,25,17,4,20,14,18,14,4,1,1,1,1,0,0.8,3,3,3,3,2,2,15,1,2
2824,1,1,1,1,14,1,13,0,1,0,5,3,3,3,0,3,0,0,0,3,93,10,63,32,34,20,39,45,28,17,3,3,3,1,1,0.32,5,5,5,3,3,3,15,4,13
2825,2,2,2,1,22,2,14,5,1,1,4,9,9,8,1,9,0,4,0,5,280,40,172,81,113,68,105,124,67,57,5,5,6,4,2,0.4,18,18,19,15,1,1,23,1,20
2826,1,1,2,1,20,1,17,2,2,4,6,14,14,10,1,14,0,5,0,9,402,47,309,145,196,55,215,245,131,114,6,6,6,1,3,0.18,26,26,30,14,13,7,59,1,56
2827,2,2,2,1,41,4,31,6,1,2,3,3,3,1,0,3,0,0,0,3,205,25,142,66,87,40,101,110,60,50,3,3,3,1,2,0.28,6,6,7,3,0,0,5,8,5
2828,1,1,1,1,14,1,10,2,2,0,4,7,7,7,1,7,0,1,0,6,162,24,102,46,57,36,68,79,41,38,2,2,2,1,2,0.35,8,8,9,7,1,1,9,1,7
2829,1,1,1,1,15,1,12,1,1,0,1,3,3,3,0,3,0,0,0,3,86,11,53,23,28,22,30,39,20,19,2,2,2,1,3,0.42,5,5,5,3,0,0,1,1,1
2830,2,2,2,1,13,1,12,0,14,9,3,42,42,33,21,42,25,0,0,17,646,91,524,180,323,36,296,395,186,209,8,8,10,4,4,0.07,86,86,88,45,1,1,7,4,2
2831,3,3,3,1,16,1,13,2,1,1,0,2,2,1,0,2,0,1,0,1,65,6,38,17,17,21,29,38,21,17,5,5,5,1,2,0.55,7,7,7,2,0,0,9,1,2
2832,4,4,4,1,25,1,20,3,1,9,3,11,11,2,0,11,10,0,0,1,340,35,248,82,155,62,154,194,84,110,22,20,22,5,2,0.25,50,48,50,15,0,0,9,1,5
2833,1,1,1,1,10,0,8,0,1,1,0,8,8,7,0,8,0,1,0,7,129,18,87,34,49,24,50,63,27,36,2,2,2,1,1,0.28,12,12,12,8,0,0,5,1,0
2834,2,2,3,1,22,3,16,3,2,0,1,17,17,17,5,17,0,0,0,17,473,76,324,87,221,73,236,301,98,203,6,6,6,4,1,0.23,50,50,51,20,0,1,8,1,8
2835,3,3,3,1,20,2,16,2,1,0,1,14,14,14,4,14,0,0,0,14,366,51,260,68,172,55,193,244,78,166,9,9,9,1,1,0.21,43,43,43,14,0,1,7,1,7
